name,address,city,phone,category,cluster,processed_name,processed_address,processed_city,processed_phone,processed_category,cluster_id
monte carlozRestaurant,314c5 las vegas blvd s,laa vegas,70-733-4524,french tnew),665,monte carlozrestaurant,314c5 las vegas blvd s,laa vegas,707334524,french tnew,22
cafe botanicq Restaurant,160 CENTRL PARK S,ew york,212/44 5120,rench,200,cafe botanicq restaurant,160 centrl park s,ew york,212445120,rench,42
MOONdATE,3k400lasvegasblvd.s.,yas vegas,702-791-350,fhinese,666,moondate,3k400lasvegasblvds,yas vegas,702791350,fhinese,688
San Dmenico,240 ceqtral park s,new york cicy,212 265 5p959,italwian,57,san dmenico,240 ceqtral park s,new york cicy,2122655959,italwian,304
edison hcafe,228q w. 47th st.,new ork city,k12 840 5000,dineres,611,edison hcafe,228q w 47th st,new ork city,128405000,dineres,499
san frangcisco bbu,1328 18h st.,san fracisco,415-431-89n56,thpai,744,san frangcisco bbu,1328 18h st,san fracisco,4154318956,thpai,451
hyde-street-bxistro,1521q hyde st.,san francsco,415/441r7775,itzalian,482,hydestreetbxistro,1521q hyde st,san francsco,4154417775,itzalian,689
uncle nico'u,747 9th ave.  between 50th and 51st smd.,new lyork,212-315-726,muditerranean,64,uncle nicou,747 9th ave between 50th and 51st smd,new lyork,212315726,muditerranean,564
beelnut,2030 union st,an francisco,m415/929 8855,sian,456,beelnut,2030 union st,an francisco,4159298855,sian,690
hariis',2100 valn ness ave.,sakn francisco,41/673 1888,steawk houses,476,hariis,2100 valn ness ave,sakn francisco,416731888,steawk houses,477
LAm COTE BASQUE,60 g 55th st,newyork city,212-688-652b1,french (classdc),40,lam cote basque,60 g 55th st,newyork city,2126886521,french classdc,165
balln's big kitchei,3645 las vegasblvd. s,las vagas,702739-4111,buoffets,424,ballns big kitchei,3645 las vegasblvd s,las vagas,7027394111,buoffets,344
cafe bocanicu,160 centnal park s,new yock,12/484-5124,zrench,200,cafe bocanicu,160 centnal park s,new yock,124845124,zrench,155
ONE IF BY LANDs TIBS,17 barrow sts.,xnew york city,12-228-0822,contiinental,632,one if by lands tibs,17 barrow sts,xnew york city,122280822,contiinental,70
peutrossian,1j82 w. 58th st.,ew york,k12/245-2216,fprench,52,peutrossian,1j82 w 58th st,ew york,122452216,fprench,334
Water Club,500 ve. 30th st.,newqyork,212/68i 3333,imerican,374,water club,500 ve 30th st,newqyork,212683333,imerican,691
hamburger ary's,1582 folsom stm.,san francsco,4e5-626-1985,hambuxgers,732,hamburger arys,1582 folsom stm,san francsco,456261985,hambuxgers,465
Carnival Worla,3700 w.j flamingo rd.,las vegax,702-252-777,buffetr,435,carnival worla,3700 wj flamingo rd,las vegax,702252777,buffetr,532
raiv,100 w. 82nod st.,newb york,212/501-07f71,awsian,332,raiv,100 w 82nod st,newb york,2125010771,awsian,493
caffe ryma,385 broopme st. at mulberry,newv york,212/h226-8415,coffeerbar,210,caffe ryma,385 broopme st at mulberry,newv york,2122268415,coffeerbar,685
VINCE & EDIE'S,70 w. 68th st,new yrk,212/721-00x3,amercan,372,vince edies,70 w 68th st,new yrk,212721003,amercan,168
Ritz-Carlton Restaurant An hDining Room,600stocktonsrt.,sfan francisco,415/29-7465,tamerican,110,ritzcarlton restaurant an hdining room,600stocktonsrt,sfan francisco,415297465,tamerican,84
Caf Bianco,1486 2rnd ave.  between 77th andz78th sts.,new yyork,212/988-265,coffeevbar,199,caf bianco,1486 2rnd ave between 77th andz78th sts,new yyork,212988265,coffeevbar,633
sign ofv the dove,1110 thirdmave.,nvw york city,212-8618083,american (lnew),61,sign ofv the dove,1110 thirdmave,nvw york city,2128618083,american lnew,50
alain rondpelle,126oclement st.,san foancisco,415/38z-0408,frsench,94,alain rondpelle,126oclement st,san foancisco,415380408,frsench,16
cocks Restaurant,633 3rd ave. atp 40th st.,nfew york,212/ 986-80q83,seafookd,229,cocks restaurant,633 3rd ave atp 40th st,nfew york,2129868083,seafookd,449
jchatzi-on-main,3g110mainst.,los angevles,311n399-4800,contineqntal,162,jchatzionmain,3g110mainst,los angevles,3113994800,contineqntal,692
casfa la femme,150 whoster st.  between houston and prince cts.,anew york,212/505 000q5,middle jeastern,215,casfa la femme,150 whoster st between houston and prince cts,anew york,2125050005,middle jeastern,626
loquito mas,2635 p. olive ave.,burbnk,818 56k 2252,mexicarn,587,loquito mas,2635 p olive ave,burbnk,818562252,mexicarn,113
La Cumhre,515 VALtENCIA ST.,san franvisco,4h15-863-8201,mexiwan,734,la cumhre,515 valtencia st,san franvisco,4158638201,mexiwan,527
oystar bai,vower level,new york citvy,212 4i0 6650,feafood,633,oystar bai,vower level,new york citvy,212406650,feafood,460
ortitalii,195 fillmore st,san franciso,415-46-1333,ifalian,501,ortitalii,195 fillmore st,san franciso,415461333,ifalian,355
remoi Restaurant,3rd st. promnade,santa monia,3x0/393 6545,italiapn,159,remoi restaurant,3rd st promnade,santa monia,303936545,italiapn,39
tribeca grill Restarant,375 greenwicho st.  near franklin stz.,new yorbk,212e/941 3900,ameriucan,364,tribeca grill restarant,375 greenwicho st near franklin stz,new yorbk,2129413900,ameriucan,99
MON KEE SEAFOOD RESpTAURANT,679n.springst,los aneles,k13/628-6717,ajsian,147,mon kee seafood resptaurant,679nspringst,los aneles,136286717,ajsian,693
planet-holvywood,14m w. 57th st.,new ork,212/333-j825,averican,328,planetholvywood,14m w 57th st,new ork,212333825,averican,630
vicolo-pizzeoia,20p1ivyst.,xsan francisco,415-863-z382,pzza,751,vicolopizzeoia,20p1ivyst,xsan francisco,415863382,pzza,694
trtillai,774poncedeleonave.xne,alanta,404-89s2-0193,texdmex,716,trtillai,774poncedeleonavexne,alanta,4048920193,texdmex,472
fersier,29e.d5thst.,new yhrk,212/772-d000,ffench,238,fersier,29ed5thst,new yhrk,212772000,ffench,695
cafey's corner,1215 pzwers ferry rd.,marhetta,770-933-09s4,hmburgers,686,cafeys corner,1215 pzwers ferry rd,marhetta,770933094,hmburgers,696
DANICO,164 mulberryst.  between graund and broome sts.,nxew york,212/343-121e,ftalian,225,danico,164 mulberryst between graund and broome sts,nxew york,212343121,ftalian,18
t sablon,143 mercer sts. at prince st.,noew york,212/925 z700,cofjfee bar,355,t sablon,143 mercer sts at prince st,noew york,212925700,cofjfee bar,674
pacific pa pacific hotee,500 pnost st.,sann francisco,415/929 a087,rench,502,pacific pa pacific hotee,500 pnost st,sann francisco,415929087,rench,572
cuciana-della-fontana,368 bleecker t,new yok city,212-242-063u,italiah,607,cucianadellafontana,368 bleecker t,new yok city,212242063,italiah,474
vsuppenkuche,60hayesst.,san fracisco,415/h252-9289,russiadn/german,518,vsuppenkuche,60hayesst,san fracisco,4152529289,russiadngerman,697
vaqentino Restaurant,3115icoblvd.,santah monica,311/829-431d,italkan,21,vaqentino restaurant,3115icoblvd,santah monica,311829431,italkan,441
aruro's,106 w houston st  off tohompson st,nw york,212-677-38b0,idalian,183,aruros,106 w houston st off tohompson st,nw york,212677380,idalian,576
osweet lady jane,360 melrose ave,la,213 653 7v145,dsserts,596,osweet lady jane,360 melrose ave,la,2136537145,dsserts,512
rosa-mexiscano,10631bstave.at58thst.,nez york,212/753-407,mexlcan,337,rosamexiscano,10631bstaveat58thst,nez york,212753407,mexlcan,511
Corrado Caoe,1013 c3rd ave.  between 60th and 6b1st sts.,new qyork,212/53 5100,crffee bar,223,corrado caoe,1013 c3rd ave between 60th and 6b1st sts,new qyork,212535100,crffee bar,571
nseryna,1 e. 53rd st.,nkw york,b212-980-9393,asin,59,nseryna,1 e 53rd st,nkw york,2129809393,asin,88
columbusbakery,53red sts.,new yjrk,212/421e0334,coffee zar,222,columbusbakery,53red sts,new yjrk,2124210334,coffee zar,563
antonys,3109 piedmont rd  just southk of peychtree rd,atlaqta,404j262 7379,americn,382,antonys,3109 piedmont rd just southk of peychtree rd,atlaqta,4042627379,americn,698
BcSTRO GARDEN,176 n. canon ds.,lofs angeles,31/550-3901,califrnian,115,bcstro garden,176 n canon ds,lofs angeles,315503901,califrnian,699
ofi,3rd t.,los ageles,213/651 0x46,mediterraneran,163,ofi,3rd t,los ageles,213651046,mediterraneran,700
antocios,3700w.flamyingo,las vgas,702/252-739,italdan,423,antocios,3700wflamyingo,las vgas,702252739,italdan,532
cendrizlon asian grilel & marimba bar Restaurant,45mercerst.betweenbroomeandgrandts,jew york,12-343-9012,oasian,216,cendrizlon asian grilel marimba bar restaurant,45mercerstbetweenbroomeandgrandts,jew york,123439012,oasian,240
Mangia Eo Bevi,8009thave.at5rdst.,ne york,212956 3976,itafian,299,mangia eo bevi,8009thaveat5rdst,ne york,2129563976,itafian,701
buzio's in the qria,370 w. flamingo rd.,las veas,702-252-697,seeafood,658,buzios in the qria,370 w flamingo rd,las veas,702252697,seeafood,363
21-clurb,21 W. c2ND ST.,nes york,21s2/582-7208,americfan,23,clurb,21 w c2nd st,nes york,2125827208,americfan,294
gramcrcy tavern Restaurant,42 e 20tho st  between park ave s and broadway,new yor,22-477-0777,ameqrican,36,gramcrcy tavern restaurant,42 e 20tho st between park ave s and broadway,new yor,224770777,ameqrican,229
Uncle Bibll'S Pancake House,1305 IGHLAND AVE.,manhattan beqch,310-54c-5174,diner,599,uncle biblls pancake house,1305 ighland ave,manhattan beqch,310545174,diner,392
kuruma zushi Restaurans,2ndnfl.,new yyork city,212-17-2803,jjpanese,621,kuruma zushi restaurans,2ndnfl,new yyork city,212172803,jjpanese,702
buccaneer-bay-mclub,300 LAS VEGAS BLVD. S.,as vegas,702-894-730,contionental,657,buccaneerbaymclub,300 las vegas blvd s,as vegas,702894730,contionental,8
NORTp INDIA,3131websterst.,sun francisco,415/931o 1556,aian,499,nortp india,3131websterst,sun francisco,4159311556,aian,642
palssades,u1829 PEACHTREE RD.,actlanta,40r4/350 6755,contvinental,410,palssades,u1829 peachtree rd,actlanta,4043506755,contvinental,259
cafeebizou,14016 ventra blvd.,shherman oaks,818-788-353h,fvrench bistro,3,cafeebizou,14016 ventra blvd,shherman oaks,818788353,fvrench bistro,418
CHAN DAR,310n.larchmntblvd.,los angqeles,213-47-1052,asia,125,chan dar,310nlarchmntblvd,los angqeles,213471052,asia,648
JuWEL OF INDIA,j15 w. 44th st.,new yor,21r/869-5544,tsian,273,juwel of india,j15 w 44th st,new yor,218695544,tsian,703
sa-tsuki,3043 bufordc hwy.,atlana,404/325-528,afian,415,satsuki,3043 bufordc hwy,atlana,404325528,afian,161
alley's-en,31z1w.17thst.,new yorgk,212/627 899,merican,178,alleysen,31z1w17thst,new yorgk,212627899,merican,142
r.j.s uptown kijtchen & wine bar,870 n hrighland ave,ctlanta,404/85-7775,americn,413,rjs uptown kijtchen wine bar,870 n hrighland ave,ctlanta,404857775,americn,261
art's-dei,12224 VENTURA BLD.,studiocity,81o-762-1227,deflis,1,artsdei,12224 ventura bld,studiocity,817621227,deflis,529
falafel king Restarant,1059 broxton aue.,wzstwood,3e11-208-4444,midle eastern,552,falafel king restarant,1059 broxton aue,wzstwood,3112084444,midle eastern,647
morton'sof chicago (atlanta),303 eachtree st ne,atlana,404 5u77 4366,steakxouses,704,mortonsof chicago atlanta,303 eachtree st ne,atlana,4045774366,steakxouses,415
re23,j923e.thirdst.,losangeles,213-687-718,jatpanese,588,re,j923ethirdst,losangeles,213687718,jatpanese,19
penang soo,109 sprfng st.  etween greene and mercer sts.,new vyork,212m274-8883,asiian,326,penang soo,109 sprfng st etween greene and mercer sts,new vyork,2122748883,asiian,646
il fhrnaio cucina italiane,301 . BEVERLY DR.,los aygeles,311/550-83w30,itlian,139,il fhrnaio cucina italiane,301 beverly dr,los aygeles,3115508330,itlian,207
lafolie,231j polk st.,san francisc,415f776-5574,frensch,104,lafolie,231j polk st,san francisc,4157765574,frensch,635
rubicobo,558 sacraento st.,sn francisco,41c/434-4102,america,508,rubicobo,558 sacraento st,sn francisco,414344102,america,313
RibRanch,25irbzyave.,atwanta,404/233g-7644,zbarbecue,414,ribranch,25irbzyave,atwanta,4042337644,zbarbecue,478
vaxlentino Restaurant,31j5picoblvd.,sanata monica,310829-4310,italan,21,vaxlentino restaurant,31j5picoblvd,sanata monica,3108294310,italan,441
trade vic's,876 WILSHIRE BLVD.,los angees,310/276 w345,sian,169,trade vics,876 wilshire blvd,los angees,310276345,sian,31
picholibe,35 w. 64th st,new yocrk city,212 724 85i85,mediterraean,53,picholibe,35 w 64th st,new yocrk city,2127248585,mediterraean,192
mccormick-&-kuletos,GHIRAxDELLI SQ.,sanlfrancisco,4s15-929-1730,seafod,496,mccormickkuletos,ghiraxdelli sq,sanlfrancisco,4159291730,seafod,288
M SPIA DUNWOODY RD.,pavk place  across from perimeter ball  dunwoody,atlantz,770-3j3-1333,talian,408,m spia dunwoody rd,pavk place across from perimeter ball dunwoody,atlantz,770331333,talian,102
rorso,322 w. 46th bt.,new zyork,212-489-721q2,zitalian,316,rorso,322 w 46th bt,new zyork,2124897212,zitalian,152
didges,217unionst.,sn francisco,415-921-f140,amevrican,726,didges,217unionst,sn francisco,415921140,amevrican,256
hotel bel-ir Restaurant,701 stone canyon rjd.,bel aiur,310/472-1e17,califlornian,2,hotel belir restaurant,701 stone canyon rjd,bel aiur,310472117,califlornian,518
cafe ierre,2 e. 6qst st.,rew york,212-940-z185,frnch,203,cafe ierre,2 e 6qst st,rew york,212940185,frnch,318
GOTvAM BAR & GRILL,12 e. 12h st.,new yoryk city,212 620 4m020,american (nvew),35,gotvam bar grill,12 e 12h st,new yoryk city,2126204020,american nvew,46
Milpennium,246 mcallistehr st.,san francico,415/487-980,vegevarian,497,milpennium,246 mcallistehr st,san francico,415487980,vegevarian,417
MO'S BURGERmS,132z grant st,snn francisco,415-788-37a9,hamburgers,740,mos burgerms,132z grant st,snn francisco,415788379,hamburgers,162
laza restaurani,168 dst ave  between 10wth and 11th sts,new ybrk,212/674g-7017,itawian,282,laza restaurani,168 dst ave between 10wth and 11th sts,new ybrk,2126747017,itawian,57
HONG KONG VILLpA,232 CLEMENT ST.,skan francisco,415/f752 8833,asia,481,hong kong villpa,232 clement st,skan francisco,4157528833,asia,704
ti cokz Restaurant,310 16th st.,san francisuo,415-252n7371,frevch,748,ti cokz restaurant,310 16th st,san francisuo,4152527371,frevch,16
aj,937 broadway at 2nd st,nee york,21c2/473-8388,americn,176,aj,937 broadway at 2nd st,nee york,2124738388,americn,643
MARY MAC'y TEA ROOM,224poncedeleonavo.,atlanra,404/876-18x02,soutzhern,86,mary macy tea room,224poncedeleonavo,atlanra,4048761802,soutzhern,148
litwle szechuaa,c uford hwy.  northwoors plaza  doraville,atlana,770/451-01l92,sian,403,litwle szechuaa,c uford hwy northwoors plaza doraville,atlana,7704510192,sian,649
chez michkel,804 iorth point st,sangfrancisco,415 775 736,californiag,99,chez michkel,804 iorth point st,sangfrancisco,415775736,californiag,122
Dawbt,210 Ey. 58TH ST.,nw york city,212-355-75w0,kindian,32,dawbt,210 ey 58th st,nw york city,212355750,kindian,5
new ynrk noodletown,28 1/2 bowery at boayard st.,new yorek,o12/349 0923,ysian,313,new ynrk noodletown,28 12 bowery at boayard st,new yorek,123490923,ysian,705
ma-cocina,57jsnest.offhudsonst.,new yornk,212/6p27-8279,mexicvn,48,macocina,57jsnestoffhudsonst,new yornk,2126278279,mexicvn,134
cafe cfentro Restaurant,200 park ave.  betweend 45th hst. and vanderbilt kave.,new yor,212/818 1a222,vrench,204,cafe cfentro restaurant,200 park ave betweend 45th hst and vanderbilt kave,new yor,2128181222,vrench,54
LETTUCE OUPRISE YOU (AT),3525 mvll blvd.,duluh,770-48-9969,cafetercas,702,lettuce ouprise you at,3525 mvll blvd,duluh,770489969,cafetercas,321
brunoq'i,3838 cegtinela ave.,mpar vista,3b10-397-5701,itaian,544,brunoqi,3838 cegtinela ave,mpar vista,3103975701,itaian,39
riviiera,519e.pacesferryrdi,atanta,4p4-262-7112,dediterranean,712,riviiera,519epacesferryrdi,atanta,442627112,dediterranean,670
ard rock cafe,221 we. 57th st.,new yorck,212/489-665,aerican,261,ard rock cafe,221 we 57th st,new yorck,212489665,aerican,706
2i22a,2223 mprket st,san frhncisco,41/431-0697,ameriican,453,ia,2223 mprket st,san frhncisco,414310697,ameriican,707
ritz-carlton reestaurantvRestaurant,181 leachtree st.,alanta,404 659 0t00,nrench (classic),91,ritzcarlton reestaurantvrestaurant,181 leachtree st,alanta,404659000,nrench classic,10
caofe lalo,201 Wq. 83RD ST.,new yorxk,j212-496-6031,coffee zar,26,caofe lalo,201 wq 83rd st,new yorxk,2124966031,coffee zar,312
le montrachet bisra,3000 pardise rd.,ls vegas,702-732-56v51,fench bistro,69,le montrachet bisra,3000 pardise rd,ls vegas,7027325651,fench bistro,13
brqno,40 e. 58th st.,new yor,212/6f88-4190,itlian,195,brqno,40 e 58th st,new yor,2126884190,itlian,255
scaglas bistro,4z32powellst.,san frsancisco,415/395-555,iotalian,511,scaglas bistro,4z32powellst,san frsancisco,415395555,iotalian,401
ciboulette restauzant,1529 PIEDMOgNT AVE.,alanta,404-874-76g0,fench (new),79,ciboulette restauzant,1529 piedmognt ave,alanta,404874760,fench new,190
Carly'S,10w1cobbpkwy.se,parietta,770 422 8b42,hmburgers,685,carlys,10w1cobbpkwyse,parietta,770422842,hmburgers,667
Hong Kog Flower Lounge,5322 GEARY BvLVD.,san fraancisco,415-6688998,asan,480,hong kog flower lounge,5322 geary bvlvd,san fraancisco,4156688998,asan,270
FAT MATT'S RIB HACK,1811 piedmdont ave.  near cheshire bridge rdd.,atlanna,404/607-162,barecue,395,fat matts rib hack,1811 piedmdont ave near cheshire bridge rdd,atlanna,404607162,barecue,374
Ze,90 prince st.  between bronadway and mercer gst.,nekw york,212-966-6z22,amerycan,378,ze,90 prince st between bronadway and mercer gst,nekw york,212966622,amerycan,584
toulousl,bpeamchtreerd.,atlantm,404-z51-9533,qfrench,92,toulousl,bpeamchtreerd,atlantm,404519533,qfrench,163
lex jardin Restaurant,25 ccleveland pl.  near spring st.,newyork,212/3439599,rench,288,lex jardin restaurant,25 ccleveland pl near spring st,newyork,2123439599,rench,42
union square cauo,21e.1m6thst.,newlyork,212/243-402m,americn,65,union square cauo,21e1m6thst,newlyork,212243402,americn,125
boulevad Restaurant, mission st.,san rancisco,e415/543 6084,amerxcan,96,boulevad restaurant,mission st,san rancisco,4155436084,amerxcan,212
deacon burtons soulfood resbauant,1029edgewoodve.se,atlsnta,404-53-1929,southrn/soul,689,deacon burtons soulfood resbauant,1029edgewoodvese,atlsnta,404531929,southrnsoul,434
haye street grill,320 hatyes st,san fraincisco,415/863 55b5,syeafood,478,haye street grill,320 hatyes st,san fraincisco,415863555,syeafood,352
sterlinw brunch Restaurant,3645 las vegav blvd. s.,lats vegas,702-79-4658,eclebtic,673,sterlinw brunch restaurant,3645 las vegav blvd s,lats vegas,702794658,eclebtic,358
roscoe's house wf ihicken 'n' waffles Restaurant,151dn.gowerst.,rlos angeles,213/466-939,amerijcan,161,roscoes house wf ihicken n waffles restaurant,151dngowerst,rlos angeles,213466939,amerijcan,71
thelma's kitcwhen,764 MARIETTA bT. NW,atlantwa,404-68-5855,cafetehias,715,thelmas kitcwhen,764 marietta bt nw,atlantwa,404685855,cafetehias,247
corrado ccafe,1013 3rd ave.  between 60th an 1st sts.,nw york,e212/753-5100,cxoffee bar,223,corrado ccafe,1013 3rd ave between 60th an 1st sts,nw york,2127535100,cxoffee bar,54
MAxCH,160 mercer slt.  betwaen houston and prince sts.,neyw york,212-906-917,merican,304,maxch,160 mercer slt betwaen houston and prince sts,neyw york,212906917,merican,663
harrii,2100 van nessmave.,an francisco,45-673-1888,steak hiuses,476,harrii,2100 van nessmave,an francisco,456731888,steak hiuses,477
ritz-carlon dining room (san francico) Reotaurant,600 stockton st,gan francisco,415-296-745,frenchk (new),110,ritzcarlon dining room san francico reotaurant,600 stockton st,gan francisco,415296745,frenchk new,84
slanted doobo,584 VALENCA ST.,san frvncisco,41p5-861-8032,yietnamese,745,slanted doobo,584 valenca st,san frvncisco,4158618032,yietnamese,587
2l Club,21 w. 52d st.,new ykork city,212-82-7207,american new),23,l club,21 w 52d st,new ykork city,212827207,american new,294
stick-to-your-rbbs,5-16 51stave.,quteens,718-937-303i1,vbq,642,sticktoyourrbbs,516 51stave,quteens,7189373031,vbq,149
cfe 50s,838 lincoln mblvd.,venicm,310 399 195,americah,545,cfe s,838 lincoln mblvd,venicm,310399195,americah,708
PALAE COURT,3570lasvegasblvdbs,las egas,702/731h 7547,contnental,70,palae court,3570lasvegasblvdbs,las egas,7027317547,contnental,202
paty,10001 riversbide dr.,toluca hake,818/761-915,amerrican,154,paty,10001 riversbide dr,toluca hake,818761915,amerrican,193
martho's,22ND STREET GRILL 25 22D,st. hermosa beacfh,311-376-c786,aerican,575,marthos,22nd street grill 25 22d,st hermosa beacfh,311376786,aerican,623
hawtholne-lane,22 kawthorne st.,swn francisco,15-777-9779,calkfornian,102,hawtholnelane,22 kawthorne st,swn francisco,157779779,calkfornian,93
PEqRSEPOLIS,1423 2nd ave  beteen 7o4th and 75th sts,new yrk,212/5g5-1105,middle easterqn,327,peqrsepolis,1423 2nd ave beteen 7o4th and 75th sts,new yrk,212551105,middle easterqn,249
Montrzachet,23v9 w broadway  between walkr and white sts,newf york,212d/ 219-2777,frenc,49,montrzachet,23v9 w broadway between walkr and white sts,newf york,2122192777,frenc,27
virgil's reallbbq,152 w v4th st,new york cty,212-921t-9494,bq,66,virgils reallbbq,152 w v4th st,new york cty,2129219494,bq,614
matsuhilso,129 n. la cienega bblvd.,beverly wills,310-59-9635,seaood,14,matsuhilso,129 n la cienega bblvd,beverly wills,310599635,seaood,407
aiko,1167a7 san vicente blvd.,brentbwood,310207 7782,noodle srops,597,aiko,1167a7 san vicente blvd,brentbwood,3102077782,noodle srops,283
mel's dive-io,3355c geary st.,san frsancisco,415-387-u246,hamxburgers,739,mels diveio,3355c geary st,san frsancisco,415387246,hamxburgers,285
valenstino,3115 pico blvdy.,santa moniva,310-829-413,itaiian,21,valenstino,3115 pico blvdy,santa moniva,310829413,itaiian,441
cafe flore Restauranl,2298 market s,san francisyco,415 621 857,caifornian,722,cafe flore restauranl,2298 market s,san francisyco,415621857,caifornian,169
rumpms,1 tillmanfpl.,san rancisco,n415/421-2301,amerian,509,rumpms,1 tillmanfpl,san rancisco,4154212301,amerian,180
mayfower cuisinier,4750y.saharaave.,laq vegas,7h2 870 8432,ohinese,663,mayfower cuisinier,4750ysaharaave,laq vegas,728708432,ohinese,223
te saloe,143 mercer st. at prince stl,new yorp,212-925-300,cofkfee bar,355,te saloe,143 mercer st at prince stl,new yorp,212925300,cofkfee bar,674
wgater grill,544 sxgrand ave,los aqgeles,213 89k1 0900,sefood,600,wgater grill,544 sxgrand ave,los aqgeles,2138910900,sefood,248
sams noodle shop Restaurant,411 third bve,new yojrk city,2o12 213 2288,chiknese,639,sams noodle shop restaurant,411 third bve,new yojrk city,2122132288,chiknese,170
layre,211 W. BROADWAY AT FRANKLIN STm.,oew york,212/41 0700,middle eastetn,284,layre,211 w broadway at franklin stm,oew york,212410700,middle eastetn,28
raga,m2628 wilshire blvd.,sana monica,310/828-156,italia,129,raga,m2628 wilshire blvd,sana monica,310828156,italia,709
menang soho,109 dPRING ST.  BETWEEN GREENE AND zERCER STS.,ew york,212/24 8883,asuian,326,menang soho,109 dpring st between greene and zercer sts,ew york,212248883,asuian,646
vertito,600 MONTGOMeRY ST.,san frarcisco,415/433-e253,mediterranuan,523,vertito,600 montgomery st,san frarcisco,415433253,mediterranuan,652
lutec,249 e 50th st.,new yorkf city,212 752 o2225,freuch (classic),44,lutec,249 e 50th st,new yorkf city,2127522225,freuch classic,408
Cafe Floore,22t98 market st.,sanafrancisco,415-621-8u79,cjalifornian,722,cafe floore,22t98 market st,sanafrancisco,415621879,cjalifornian,608
CAE CON LECHE,424 amstqrdam ave.,necw york city,21a2 595 7000,uban,605,cae con leche,424 amstqrdam ave,necw york city,2125957000,uban,506
Seaz Grill,19 w. 49th stm,nw york,212332-7610,seafosod,345,seaz grill,19 w 49th stm,nw york,2123327610,seafosod,710
LA MEDITERANEE,288 znoe st.,san rancisco,415-431-721,medikterranean,735,la mediteranee,288 znoe st,san rancisco,415431721,medikterranean,497
bouterip,420e.59tst.off1stave.,new yor,212/758-0z326,frenlch,193,bouterip,420e59tstoff1stave,new yor,2127580326,frenlch,42
cypress clab,500 jacson st.,san rancisco,415296-8557,aeerican,467,cypress clab,500 jacson st,san rancisco,4152968557,aeerican,96
perspoliu,1423 2nd fve  between 74th and 75th hsts,rew york,212-35-1100,middle easftern,327,perspoliu,1423 2nd fve between 74th and 75th hsts,rew york,212351100,middle easftern,249
mgustache,405aztlanticave.,broklyn,7b8-852-5550,middled eastern,630,mgustache,405aztlanticave,broklyn,788525550,middled eastern,711
JOHNNIE'S PASTpAMI,401q7 s. sepulveda blvd.,culver fity,310-397-d6654,delil,562,johnnies pastpami,401q7 s sepulveda blvd,culver fity,3103976654,delil,446
cafe-claud,7 laude ln.,san ofrancisco,4u15-392-3505,gfrench bistro,97,cafeclaud,7 laude ln,san ofrancisco,4153923505,gfrench bistro,48
ReUBY'S (LA),45 S. AIR OAKS AVE.,pasadea,818m796-7821,dinert,591,reubys la,45 s air oaks ave,pasadea,8187967821,dinert,466
TRIO CAhFE,18w70 fillmore st.,san franisco,415 56q 2248,aomerican,749,trio cahfe,18w70 fillmore st,san franisco,415562248,aomerican,52
Smith & Wollnsky,797 vhird ave.,new yrk city,212-7a3-1538,steakhduses,62,smith wollnsky,797 vhird ave,new yrk city,212731538,steakhduses,617
radinbow room Restaurant,30rockefellewplaza,new york fcity,212-632s5000,merican (new),55,radinbow room restaurant,30rockefellewplaza,new york fcity,2126325000,merican new,316
oe'S Shanghai,9 PiELL ST.,queen,718 5o9 3838,chinece,617,oes shanghai,9 piell st,queen,718593838,chinece,552
LA FONDAb LATINA,4j27 ROSWELL RD.,tlanta,404-3j3-8201,sppanish,701,la fondab latina,4j27 roswell rd,tlanta,404338201,sppanish,264
toxmtom,3s93 PEACHTREE RD.,tlanta,40c4-264-1163,contnental,422,toxmtom,3s93 peachtree rd,tlanta,4042641163,contnental,671
Halcon,151 w. 54th st. e in the riga royal hotel,newiyork,212/46m-8881,apmerican,260,halcon,151 w 54th st e in the riga royal hotel,newiyork,212468881,apmerican,362
bardwelli's,243 ofarrell st.,san franczisco,415/9g2 0243,old san franciscso,455,bardwellis,243 ofarrell st,san franczisco,415920243,old san franciscso,159
trwo two two,222 W. 7y9TH ST.,ne york,212/799d-0402,americain,368,trwo two two,222 w 7y9th st,ne york,2127990402,americain,302
MARY'S DINR,5111 w bobulder hwy,lasvegas,7o2/454-8071,coffee shops/dinrs,445,marys dinr,5111 w bobulder hwy,lasvegas,724548071,coffee shopsdinrs,189
Boko,23 e. 22nr st.,neow york,212-228-2k00,mediteyrranean,191,boko,23 e 22nr st,neow york,212228200,mediteyrranean,461
louise's-trattori,g4500losfelizblvd.,losangeles,213-67-0777,itlian,146,louisestrattori,g4500losfelizblvd,losangeles,213670777,itlian,668
Pink'S Famouds Chili Dogs,709 . la brea ave.,lla,21o3 931 4223,holt dogs,586,pinks famouds chili dogs,709 la brea ave,lla,2139314223,holt dogs,627
cISCES,95 ve. a,new yok city,212-260-660,seafod,54,cisces,95 ve a,new yok city,212260660,seafod,239
jackson-divner,37g03 74th st.,qlueens,718 67 1232,indvian,616,jacksondivner,37g03 74th st,qlueens,718671232,indvian,230
Reublic,3A UNION SQ. kW  BETWEEN 16TH AND 17TH STS.,new yowk,21-627-7172,asin,335,reublic,3a union sq kw between 16th and 17th sts,new yowk,216277172,asin,249
picholinse,z35w.64thst.,net york,212/724-858u,mediterranea,53,picholinse,z35w64thst,net york,212724858,mediterranea,192
